1.375000	0.69314718
1.611111	1.09861229
1.789773	1.38629436
1.933538	1.60943791
2.054038	1.79175947
2.157834	1.94591015
2.249039	2.07944154
2.330399	2.19722458
2.403848	2.30258509
2.470796	2.39789527
2.532306	2.48490665
2.589199	2.56494936
2.642122	2.63905733
2.691595	2.70805020
2.738041	2.77258872
2.781810	2.83321334
2.823195	2.89037176
2.862443	2.94443898
2.899763	2.99573227
2.935336	3.04452244
2.969319	3.09104245
3.001848	3.13549422
3.033042	3.17805383
3.063007	3.21887582
3.091835	3.25809654
3.119611	3.29583687
3.146407	3.33220451
3.172292	3.36729583
3.197324	3.40119738
3.221558	3.43398720
3.245044	3.46573590
3.267826	3.49650756
3.289946	3.52636052
3.311440	3.55534806
3.332343	3.58351894
3.352686	3.61091791
3.372500	3.63758616
3.391810	3.66356165
3.410642	3.68887945
3.429018	3.71357207
3.446961	3.73766962
3.464489	3.76120012
3.481623	3.78418963
3.498379	3.80666249
3.514773	3.82864140
3.530821	3.85014760
3.546538	3.87120101
3.561935	3.89182030
3.577027	3.91202301
3.591825	3.93182563
3.606340	3.95124372
3.620584	3.97029191
3.634565	3.98898405
3.648293	4.00733319
3.661777	4.02535169
3.675027	4.04305127
3.688049	4.06044301
3.700852	4.07753744
3.713442	4.09434456
3.725827	4.11087386
3.738013	4.12713439
3.750007	4.14313473
3.761815	4.15888308
3.773441	4.17438727
3.784892	4.18965474
3.796173	4.20469262
3.807289	4.21950771
3.818245	4.23410650
3.829044	4.24849524
3.839692	4.26267988
3.850193	4.27666612
3.860551	4.29045944
3.870769	4.30406509
3.880851	4.31748811
3.890801	4.33073334
3.900623	4.34380542
3.910318	4.35670883
3.919892	4.36944785
3.929346	4.38202663
3.938684	4.39444915
3.947909	4.40671925
3.957022	4.41884061
3.966028	4.43081680
3.974928	4.44265126
3.983724	4.45434730
3.992420	4.46590812
4.001017	4.47733681
4.009518	4.48863637
4.017925	4.49980967
4.026239	4.51085951
4.034464	4.52178858
4.042600	4.53259949
4.050650	4.54329478
4.058615	4.55387689
4.066497	4.56434819
4.074299	4.57471098
4.082021	4.58496748
4.089665	4.59511985
4.097233	4.60517019
4.104726	4.61512052
4.112145	4.62497281
4.119493	4.63472899
4.126770	4.64439090
4.133979	4.65396035
4.141119	4.66343909
4.148192	4.67282883
4.155201	4.68213123
4.162145	4.69134788
4.169026	4.70048037
4.175845	4.70953020
4.182603	4.71849887
4.189302	4.72738782
4.195942	4.73619845
4.202524	4.74493213
4.209049	4.75359019
4.215519	4.76217393
4.221934	4.77068462
4.228296	4.77912349
4.234604	4.78749174
4.240860	4.79579055
4.247065	4.80402104
4.253220	4.81218436
4.259325	4.82028157
4.265381	4.82831374
4.271389	4.83628191
4.277350	4.84418709
4.283265	4.85203026
4.289133	4.85981240
4.294957	4.86753445
4.300736	4.87519732
4.306471	4.88280192
4.312164	4.89034913
4.317813	4.89783980
4.323421	4.90527478
4.328988	4.91265489
4.334514	4.91998093
4.340001	4.92725369
4.345447	4.93447393
4.350855	4.94164242
4.356225	4.94875989
4.361556	4.95582706
4.366851	4.96284463
4.372109	4.96981330
4.377330	4.97673374
4.382516	4.98360662
4.387666	4.99043259
4.392782	4.99721227
4.397863	5.00394631
4.402911	5.01063529
4.407925	5.01727984
4.412906	5.02388052
4.417854	5.03043792
4.422771	5.03695260
4.427655	5.04342512
4.432509	5.04985601
4.437331	5.05624581
4.442123	5.06259503
4.446885	5.06890420
4.451617	5.07517382
4.456320	5.08140436
4.460993	5.08759634
4.465638	5.09375020
4.470255	5.09986643
4.474844	5.10594547
4.479405	5.11198779
4.483938	5.11799381
4.488445	5.12396398
4.492925	5.12989871
4.497379	5.13579844
4.501807	5.14166356
4.506208	5.14749448
4.510585	5.15329159
4.514936	5.15905530
4.519263	5.16478597
4.523565	5.17048400
4.527842	5.17614973
4.532096	5.18178355
4.536325	5.18738581
4.540532	5.19295685
4.544715	5.19849703
4.548875	5.20400669
4.553012	5.20948615
4.557127	5.21493576
4.561219	5.22035583
4.565290	5.22574667
4.569339	5.23110862
4.573366	5.23644196
4.577372	5.24174702
4.581356	5.24702407
4.585320	5.25227343
4.589264	5.25749537
4.593186	5.26269019
4.597089	5.26785816
4.600972	5.27299956
4.604834	5.27811466
4.608678	5.28320373
